username,mediacount,followers,followees,has_viewable_story,language,new_feature
beingsalmankhan,1417,68689632,38,0,5,42
nyx.ynn,3,32,27,0,5,42
nyx.ynn,3,32,27,0,5,42
heenagohil_1584,1,269,313,0,5,42
heenagohil_1584,1,269,313,0,5,42
btwiamjd,8,2921,364,0,5,42
btwiamjd,8,2921,365,0,5,42
nyx.ynn,3,30,25,0,5,42
nyx.ynn,3,30,25,0,5,42
nyx.ynn,3,30,25,0,5,42
faiz_udheja,7,63,68,0,5,42
suyash_rao_7906,4,1823,191,0,5,42
suyash_rao_7906,4,1823,191,0,5,42
faiz_udheja,7,63,68,0,5,42
suyash_rao_7906,4,1823,191,0,5,42
suyash_rao_7906,4,1823,191,0,5,42
suyash_rao_7906,4,1823,191,0,5,42
aadil_tansawala,2,250,175,0,5,42
aadil_tansawala,2,250,175,0,5,42
beingsalmankhan,1417,68736649,38,0,5,42
simply.nizu,19,489,652,0,5,42
choleee_bhature,0,21,291,0,5,42
nyx.ynn,3,30,25,0,5,42
_.kaju.here,0,465,448,0,5,42
_.kaju.here,0,465,448,0,5,42
_.kaju.here,0,465,448,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,31,26,0,5,42
suyash_rao_7906,4,1824,192,0,5,42
suyash_rao_7906,4,1824,192,0,5,42
nyx.ynn,3,31,26,0,5,42
suyash_rao_7906,4,1824,192,0,5,42
nyx.ynn,3,31,26,0,5,42
nyx.ynn,3,28,23,0,5,42
beingsalmankhan,1417,68927763,38,0,5,42
beingsalmankhan,1417,68927767,38,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
beingsalmankhan,1417,68927759,38,0,5,42
beingsalmankhan,1417,68927773,38,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
beingsalmankhan,1417,68927762,38,0,5,42
nyx.ynn,3,28,23,0,5,42
beingsalmankhan,1417,68927762,38,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
beingsalmankhan,1417,68927810,38,0,5,42
beingsalmankhan,1417,68927813,38,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
nyx.ynn,3,28,23,0,5,42
beingsalmankhan,1417,68927835,38,0,5,42
nyx.ynn,3,28,23,0,5,42
beingsalmankhan,1417,68930969,38,0,5,42
ig_aman_0726,6,14925,282,1,5,42
nyx.ynn,3,29,24,0,5,42
beingsalmankhan,1417,68935820,38,0,5,42
